canonical_bioactive_name,source_key_count,total_presence_count,total_nonzero_count,source_keys,display_names,source_units,display_units,review_statuses,match_methods
Vitamin A and Carotenoids,8,742,360,carotene-alpha_100g; carotene-beta_100g; cryptoxanthin-beta_100g; lutein-zeaxanthin_100g; retinol_100g; vitamin-a-iu_100g; vitamin-a-rae_100g; vitamin-a_100g,Vitamin A and Carotenoids,IU/100g; g/100g,IU/100g; mg/100g,alias_mapped_review,manual_alias
Vitamin B12,7,345,216,b12_100g; cobalamida_100g; es-vitamina-b12_100g; vitamin-b-12-added_100g; vitamin-b-12_100g; vitamin-b12-cobalamin_100g; vitamin-b12_100g,Vitamin B12,g/100g,ug/100g,alias_mapped_review,manual_alias; second_pass_alias; third_pass_alias
Vitamin B6,5,353,283,en-vitamine-b6-pyridoxine_100g; vit-b6_100g; vitamin-b-6_100g; vitamin-b6-pyridoxin_100g; vitamin-b6_100g,Vitamin B6,g/100g,mg/100g,alias_mapped_review,manual_alias; second_pass_alias
Vitamin B9,1,167,105,vitamin-b9_100g,Vitamin B9,g/100g,ug/100g,alias_mapped_review,manual_alias
Vitamin C,7,793,600,en-vitamine-c-acide-ascorbique_100g; vitamin-c-ascorbic-acid_100g; vitamin-c_100g; vitamine-c-acide-ascorbique_100g; vitamine-c_100g; vitc_100g; 维生素-c_100g,Vitamin C,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias_variant; second_pass_alias
Vitamin D,3,413,150,vitamin-d-d2-d3-international-units_100g; vitamin-d-d2-d3_100g; vitamin-d_100g,Vitamin D,IU/100g; g/100g,IU/100g; ug/100g,alias_mapped_review,manual_alias
Vitamin D2,5,5,4,en-vitamin-d2_100g; es-vitamina-d2_100g; vitamin-d2-ergocalciferol_100g; vitamina-d2_100g; vitamine-d2_100g,Vitamin D2,g/100g,ug/100g,alias_mapped_review,second_pass_alias; third_pass_alias
Vitamin D3,3,5,5,en-d3-vitamin_100g; vitamin-d3-cholecalciferol_100g; vitamina-d3_100g,Vitamin D3,g/100g,ug/100g,alias_mapped_review,manual_alias; second_pass_alias
Vitamin E,11,244,156,tocopherol-beta_100g; tocopherol-delta_100g; tocopherol-gamma_100g; tocotrienol-alpha_100g; tocotrienol-beta_100g; tocotrienol-delta_100g; tocotrienol-gamma_100g; vit-e_100g; vitamin-e-added_100g; vitamin-e-alpha-tocopherol_100g; vitamin-e_100g,Vitamin E,g/100g,mg/100g,alias_mapped_review,manual_alias; second_pass_alias; third_pass_alias
Vitamin K,5,157,79,phylloquinone_100g; vitamin-k-dihydrophylloquinone_100g; vitamin-k-menaquinone-4_100g; vitamin-k-phylloquinone_100g; vitamin-k_100g,Vitamin K,g/100g,ug/100g,alias_mapped_review,manual_alias; second_pass_alias
Zinc,2,194,136,zinc-zn_100g; zinc_100g,Zinc,g/100g,mg/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias
