source_key,display_name,exclude_reason,review_status,source_unit,display_unit,conversion_notes,presence_count,nonzero_count,sample_values
selenium_prepared_100g,Selenium,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",1,1,[3.38e-06]
silica_100g,Silica,no_matching_evidence_target_review_later,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,4,3,"[0.00157, 0.0027, 0.0062, 0.0]"
sodium_prepared_100g,Sodium,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",143,77,"[0.0407, 0.004, 0.0, 0.015, 0.016, 0.0, 0.004, 0.0, 0.17149999999999999, 0.02]"
sugars_prepared_100g,Sugars,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,143,112,"[7.565, 0.5, 10.8, 5.7, 9.4, 0.1, 51.0, 8.2, 29.3, 7.5]"
tfa-22-1-t_100g,Tfa 22 1 T,zero_only_no_matching_evidence_target,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,2,0,"[0.0, 0.0]"
tillsatt-socker_prepared_100g,Tillsatt Socker,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[5.0]
trans-fat_prepared_100g,Trans Fat,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,3,0,"[0.0, 0.0, 0.0]"
vitamin-a_prepared_100g,Vitamin A,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",3,3,"[0.0002325, 0.00012, 3e-05]"
vitamin-b12_prepared_100g,Vitamin B12,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",3,3,"[2.0625e-07, 1.54e-07, 5.19e-07]"
vitamin-b1_prepared_100g,Vitamin B1,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,10,10,"[8.999999999999999e-05, 0.0001, 8.5e-05, 0.0001455, 7.38e-07, 0.0005, 9.5e-05, 8.57e-05, 8.999999999999999e-05, 0.000225]"
vitamin-b2_prepared_100g,Vitamin B2,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,4,4,"[0.000108, 9.22e-05, 0.0007, 0.000148]"
vitamin-b6_prepared_100g,Vitamin B6,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",9,9,"[0.00011, 0.00015, 6.25e-06, 0.000195, 0.00011, 9.22e-05, 0.0008, 0.00011, 0.000287]"
vitamin-b9_prepared_100g,Vitamin B9,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",2,2,"[1.65e-05, 2.12e-05]"
vitamin-c_prepared_100g,Vitamin C,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",21,21,"[0.011, 0.0077, 0.008400000000000001, 0.012, 0.00954, 0.006, 0.00277, 0.006, 0.0175, 0.012]"
vitamin-d_prepared_100g,Vitamin D,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",10,9,"[7.3e-07, 3.7999999999999996e-07, 1.27e-06, 7.3e-07, 1.35e-06, 1.29e-06, 0.0, 7.3e-07, 7.14e-07, 7.3e-07]"
vitamin-e_prepared_100g,Vitamin E,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",8,8,"[0.0009, 2.5e-05, 0.001935, 0.0009000000000000001, 0.000191, 0.0018, 0.0009000000000000001, 0.00248]"
vitamin-k_prepared_100g,Vitamin K,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",1,1,[7.38e-06]
vitamin-pp_prepared_100g,Vitamin Pp,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,8,8,"[1.2e-06, 0.0012, 3.75e-05, 0.002985, 0.0012, 0.000197, 0.0012, 0.00333]"
water_100g,Water,water_not_health_effect_target_for_this_workflow,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,16,16,"[86.7, 87.91999999999999, 54.19, 28.24, 81.3, 62.31, 73.695, 94.8, 10.2, 10.2]"
zinc_prepared_100g,Zinc,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",8,8,"[0.00095, 0.00075, 0.00091, 0.00142725, 0.000861, 0.00095, 0.000952, 0.00095]"
